Player,teamID,IP,k.rate,bb.rate,BABIP,era,FIP,year
Danny Smith,LUT,29,10.9,12.6,0.295,4.85,3.17,2010
Ben Strellner,COE,37.1,9.9,1.5,0.363,4.97,2.57,2010
Michael Dirkx,BVU,20,11.8,12.5,0.321,5.06,1.98,2010
Eric Rife,LOR,10,15.6,6.7,0.405,5.4,2.89,2010
Zach Picciotti,COE,8,17.5,17.5,0.394,5.4,2.63,2010
Nick Norris,COR,4.2,14.3,21.4,0.261,5.62,6.46,2010
Stefan Snyder,LUT,15.1,25,10,0.467,5.79,0.9,2010
Dan Grosser,WAR,29.2,13.1,16.4,0.346,5.87,3.19,2010
David Nowaczyk,LOR,10.1,23.3,11.3,0.374,6.07,3.09,2010
Bret Bell,CEN,24.2,31,7.1,0.357,6.1,1.95,2010
Greg Siems,LUT,18.2,14.3,9.9,0.347,6.2,3.53,2010
Dirk Lindaman,CEN,22,19,10.1,0.323,6.27,3.13,2010
Ryan Goetzinger,CEN,25.2,22,8.8,0.406,6.55,2.76,2010
Austin Safranski,LOR,4,15.5,6.9,0.423,6.66,1.73,2010
Patrick Dorman,WAR,11.2,23.5,17.6,0.308,6.75,3.18,2010
Reggie Kock,BVU,27,23.3,44.2,0.364,6.94,6.81,2010
Darin Schneider,LUT,12.1,22.1,16.8,0.425,7,3.34,2010
Josh Barber,COE,3.2,8.7,17.4,0.317,7.3,3.94,2010
Ryan Dahlstrom,SIM,37.2,6.3,12.5,0.4,7.36,2.26,2010
Caleb Rangel,CEN,17.2,12.7,6.1,0.384,7.41,3.19,2010
Jerrod Torkelson,LUT,30.1,15.5,7.1,0.4,7.64,3.02,2010
Jesse Searls,COR,10.1,13.5,9.2,0.405,7.71,1.82,2010
Nathan Underberg,WAR,26.1,22.5,7.5,0.379,7.84,4.55,2010
David Bartine,COR,16,16.5,21.7,0.383,7.86,4.99,2010
Jose Rodriguez,SIM,8,4.5,16.7,0.271,7.88,6.3,2010
Ben Roemmich,WAR,9,18.5,25.9,0.286,7.88,5.34,2010
Derec Thompson,DBQ,23.1,13.2,18.4,0.364,8,4.01,2010
Steve Johnston,BVU,3.1,12.2,28.9,0.372,8.1,5.48,2010
Brad Walker,WAR,3.1,18.8,18.8,0.538,8.1,3.08,2010
Klayton Breitbach,DBQ,6.1,6.3,12.5,0.467,8.1,2.33,2010
Tyler Kozelka,COE,28,10.3,6.9,0.36,8.53,6.63,2010
Louis Dettorre,DBQ,10.1,10.1,8,0.425,8.68,3.84,2010
Tyler Lefeber,BVU,2,22.2,20,0.333,8.71,6.46,2010
Greg Farrey,LOR,1,11.1,22.2,0.429,9,10.97,2010
Griffin Hatten,BVU,9.2,20,0,0.5,9,-0.86,2010
Mark Butler,SIM,24.2,13.9,19.4,0.3,9.31,4.65,2010
Todd Whited,DBQ,4.2,15.7,22.5,0.376,9.49,4.38,2010
Nick Lanning,BVU,9,13.3,20,0.308,9.64,4.4,2010
Darin Schultz,CEN,26,8.7,8.7,0.405,10,2.31,2010
Max Flaig,LUT,14.1,9.2,12.6,0.411,10.04,3,2010
Nicholas Martin,DBQ,14,7.7,6.2,0.352,10.05,8.54,2010
Julian Cantu,DBQ,26,11.3,8.1,0.321,10.29,4.85,2010
Sean Raisch,COE,4,24.8,28.7,0.342,10.38,4.3,2010
Josh Kwansy,LOR,11,8.7,13,0.476,11.25,2.6,2010
Austin Linderwell,DBQ,13.1,5.7,5.7,0.396,11.45,6.11,2010
Andrew Patzke,COR,27.1,23.4,31.3,0.422,11.48,10.6,2010
Adam Butler,COR,2.1,14.7,17.8,0.426,11.52,5.11,2010
Patrick Grau,WAR,3.2,37.5,50,0.5,11.57,13.47,2010
Matt Bissen,BVU,2,9.5,14.3,0.5,12.27,9.11,2010
Drew Babinat,WAR,30,9.1,9.1,0.333,13.5,8.95,2010
Adam Harrington,COR,8.1,8.1,10.7,0.448,13.8,3.82,2010
Taylor White,DBQ,9.1,8.3,8.3,0.313,14.04,5.49,2010
Ryan Rayhill,COE,4,9.4,3.8,0.571,18.32,10.56,2010
Nathan Jepsen,COR,2.1,9.5,19,0.474,22.5,7.65,2010
Jeffrey Stevens,DBQ,5,7.7,61.5,0.5,23.14,14.99,2010
Steve Skutley,DBQ,2.1,9.1,21.2,0.621,27,8.89,2010
Zach Rogers,COR,0.1,30.8,30.8,0.667,27,7.98,2010
Andrew Denton,DBQ,3,0,33.3,0.667,27,40.42,2010
Jordan Kaiser,WAR,1,17.6,23.5,0.692,30,9.43,2010
Danny Rose,WAR,1,28.6,14.3,0.8,36,2.32,2010
Jarred Lackey,CEN,1,0,28.6,0.571,36,8.08,2010
Jacob Wittman,WAR,1,0,0,0.667,45,0,2010
Aaron Laskowski,DBQ,0,12.5,62.5,0.714,72,19.35,2010
Zack Schwartz,LOR,60,0,33.3,0.667,99,Inf,2010
Kendall Paluch,LOR,95.2,22.8,9.2,0.184,1.2,1.61,2011
Brad Watson,WAR,81.2,24.9,7.1,0.277,2.07,1.38,2011
Joel Pulliam,CEN,40.1,26.9,8.5,0.313,2.2,1.25,2011
Ben Cottrell,LOR,44,20.7,6,0.308,2.23,1.69,2011
Ryan Doty,WAR,75,23.1,8.3,0.341,2.25,2.29,2011
Augie Lindmark,LUT,58.1,16.3,5.9,0.277,2.28,1.01,2011
Matt Reynolds,LUT,81.2,16.7,8.6,0.254,2.78,1.92,2011
Wade Morris,COE,95.1,15.4,10.7,0.271,2.87,2.42,2011
Luke Probasco,BVU,62,17.4,4.7,0.288,2.93,1.32,2011
Paul Brown,SIM,72.2,20.2,6.4,0.299,3.19,2.74,2011
Mike Huyser,SIM,51,17.8,7.8,0.268,3.22,2.26,2011
Mark Hennessy,DBQ,47.1,21.7,9.2,0.289,3.35,2.14,2011
Kalen Mace,DBQ,75.1,20.8,11.9,0.303,3.42,2.24,2011
Kevin Baranowski,COE,69,11.5,13.3,0.255,3.46,3.72,2011
Scott Benson,WAR,67,16.3,7.4,0.309,3.52,2.4,2011
Danny Smith,LUT,65.2,12.5,7.1,0.296,3.63,1.66,2011
Michael Dirkx,BVU,48,20.2,9.9,0.333,3.7,2.77,2011
Kevin Moriarity,LOR,53,18.4,5.3,0.316,3.75,2.6,2011
Sean Raisch,COE,77.2,17.2,11.5,0.335,3.91,2.01,2011
Chris Dorff,SIM,39.1,21.4,8.8,0.3,3.94,2.5,2011
Elliot Visuri,DBQ,62.1,13,7.1,0.336,4.12,3.37,2011
Paul Krenger,DBQ,59.2,19.4,9.5,0.333,4.48,3.27,2011
Dirk Lindaman,CEN,60.2,11.1,9.4,0.327,4.53,3.83,2011
Ryan Goetzinger,CEN,62,20.2,10.9,0.362,4.75,2.57,2011
Charlie Muir,COR,58.1,13.6,8.1,0.357,6.53,2.61,2011
Adam Butler,COR,41.2,9.2,12.1,0.303,7.25,5.62,2011
Justin Brown,COR,9.2,9.1,12.6,0.373,7.34,3.56,2011
Brett Crable,SIM,4,16.7,13.9,0.1,0,2.98,2011
Brennan Holm,BVU,2,18.2,9.1,0.222,0,0.83,2011
Nick Baldocchi,DBQ,2,25,0,0.333,0,-1.24,2011
Jake Norton,LOR,1,57.1,14.3,0.333,0,0.43,2011
Kel Ganeku,BVU,1,33.3,0,0,0,-1.24,2011
Ryan Scheetz,BVU,8,33.3,0,0,0,-1.24,2011
Jerry Ellendson,COE,25,6.3,3.1,0.3,1.12,0.42,2011
Marcus Walcsyk,WAR,19.1,15.4,12.5,0.322,1.8,3.77,2011
Spencer Radabaugh,LOR,23.2,30.6,6.9,0.3,1.86,1.31,2011
John King,COE,21.2,8.1,9.1,0.319,1.9,2.33,2011
Tyler Hixson,COE,4,23.4,13,0.271,2.08,2.51,2011
Landon Klostermann,DBQ,32.1,0,16.7,0.167,2.25,5.82,2011
James Stone,BVU,10.1,21.8,8.9,0.347,2.51,2.81,2011
Joe Moen,WAR,17,5.1,12.8,0.194,2.61,4.73,2011
Nate Rost,WAR,30,19.4,9.7,0.24,2.65,1.52,2011
Michael Jontz,CEN,9.1,20.3,13.6,0.315,2.7,3.71,2011
Judson McKown,CEN,30.2,13.5,5.4,0.281,2.89,0.6,2011
Kyle Dupic,BVU,12,16.4,8.2,0.314,2.93,2.07,2011
Alex Korth,COE,17.2,18.2,2.3,0.278,3,1.6,2011
Brenden Drahn,COE,5.2,12.2,4.1,0.354,3.06,0.7,2011
Ben Roemmich,WAR,35,21.7,26.1,0.333,3.18,5.52,2011
Alex Byom,LUT,34.1,14.5,17.9,0.242,3.34,4.16,2011
Tyler Lefeber,BVU,36,36.5,14.3,0.35,3.41,2.25,2011
Ryan Wuebker,BVU,38,26.3,10.5,0.309,3.5,1.81,2011
Cole Boge,LOR,2.1,11.7,4.5,0.346,3.79,0.94,2011
Zach Rogers,COR,20.1,42.9,100,0.25,3.86,23.15,2011
Bret Bell,CEN,35.2,13.2,17.1,0.303,3.98,4.59,2011
Joe Martin,LUT,48,11.6,5.2,0.372,4.04,1.84,2011
Reggie Kock,BVU,13,22.9,14,0.307,4.12,3.5,2011
Jake Wittman,WAR,13,13.7,9.8,0.318,4.15,4.25,2011
Jared Berlage,LUT,13,10.4,14.6,0.326,4.15,4.89,2011
Mike Werkheiser,CEN,27.1,22.6,5.7,0.39,4.15,1.09,2011
Jeremey Gerardy,LOR,26,10.7,9.8,0.367,4.28,4.02,2011
Zach Picciotti,COE,12,11.1,11.1,0.302,4.5,3.79,2011
Eric Edkin,DBQ,8,12.8,4.3,0.263,4.5,8.06,2011
Todd Whited,DBQ,2,25,14.3,0.238,4.5,2.55,2011
Warren Drucker,SIM,17.2,7.7,0,0.455,4.5,9.96,2011
Mark Butler,SIM,37,18.8,11.3,0.422,4.58,3.19,2011
Kyle Ruehle,SIM,28.1,19,10.9,0.328,4.62,5.02,2011
Andrew Patzke,COR,32.1,14.8,16.7,0.289,4.76,4.94,2011
Jarad George,BVU,10,12.2,15.4,0.296,5.29,3.41,2011
Tyler Weiss,DBQ,31,23.3,11.6,0.394,5.4,2.25,2011
Dan Grosser,WAR,8,9.4,13.3,0.325,5.52,4.45,2011
Noah Nelsen-Gross,LUT,14.1,7.9,5.3,0.457,5.62,3.17,2011
Drew Babinat,WAR,20.2,28.1,3.5,0.282,5.65,4.48,2011
Jon Ringblom,BVU,11.2,12.9,7.1,0.378,6.1,1.63,2011
Ryan Dusil,CEN,38.2,20,11.1,0.371,6.17,3.49,2011
Kyle Staats,DBQ,21,9.9,7.5,0.375,6.52,2.47,2011
Griffin Hatten,BVU,5,24.4,6.7,0.328,6.86,2.48,2011
Caleb Rangel,CEN,11,21.1,10.5,0.385,7.2,10.96,2011
Matt Russell,SIM,21.1,26.7,24.4,0.424,7.36,6.05,2011
Jerrod Torkelson,LUT,4.2,17.9,17.9,0.362,7.59,3.8,2011
Tim McGrane,COR,32.1,0,10,0.4,7.71,4.15,2011
Kyler Laurie,LOR,21.2,12.2,11.6,0.433,7.79,4.43,2011
Eric Rife,LOR,17,15.8,8.4,0.359,7.89,4.14,2011
Michael Schinstock,WAR,5.2,9.7,6.9,0.391,7.94,2.79,2011
John Russell,SIM,14.1,26.1,26.1,0.412,7.94,5.28,2011
Josh Gordon,COE,4.1,13.6,13.6,0.4,8.16,4.51,2011
Greg Farrey,LOR,2,15.8,10.5,0.5,8.31,3.35,2011
Robert Endriss,SIM,2,40,10,0.4,9,11.01,2011
Michael Chia,SIM,1,9.1,0,0.5,9,-0.62,2011
Nicholas Martin,DBQ,4.2,0,33.3,0.333,9,11.63,2011
Kyle Pullins,SIM,9,26.1,8.7,0.357,9.64,18.89,2011
Tim Ciskowski,DBQ,20.2,24.3,10.8,0.556,10,5.63,2011
D.J. Glasgow,CEN,7.2,11.1,15.6,0.385,10.02,7.53,2011
Drew Campbell,COR,6.2,9.1,21.2,0.4,10.57,5.94,2011
Nathan Andersen,LUT,9.1,17.9,28.6,0.478,10.8,9.32,2011
Rob Voges,COE,4.1,21.6,21.6,0.5,11.57,13.56,2011
Andrew Marshall,BVU,2,13,26.1,0.55,12.46,7.6,2011
Stefan Snyder,LUT,14.2,14.3,28.6,0.333,13.5,5.2,2011
Nick Norris,COR,9.1,8.6,20,0.46,14.73,7.93,2011
Jesse Searls,COR,1,8,10,0.533,16.39,4.98,2011
Nick Battalini,LOR,2.1,20,40,0.5,18,10.39,2011
Jose Rodriguez,SIM,3,18.8,6.3,0.692,19.29,3.77,2011
Mac Shepherd,DBQ,2,17.6,17.6,0.583,27,24.5,2011
Brad Walker,WAR,1,0,18.2,0.545,31.5,5.82,2011
Nathan Jepsen,COR,0,0,7.7,0.769,90,11.63,2011
Darin Schultz,CEN,45,0,66.7,1,99,Inf,2011
Judson McKown,CEN,46.2,15,6,0.317,1.2,1.01,2012
Paul Krenger,DBQ,60.1,21.8,6.7,0.25,1.74,1.47,2012
Dirk Lindaman,CEN,94.2,17.3,7.5,0.277,1.79,0.79,2012
Scott Benson,WAR,49.1,26.7,5.3,0.341,2.28,0.32,2012
Ben Strellner,COE,73.1,9.3,3.6,0.32,2.37,1.93,2012
Augie Lindmark,LUT,80.2,15.8,9.5,0.323,2.58,1.82,2012
Joel Pulliam,CEN,41.2,25.3,8.6,0.263,2.79,1.73,2012
Will Petrosky,LOR,85,26.7,14.7,0.318,2.81,2.09,2012
Ryan Doty,WAR,59.2,32,6.5,0.342,2.86,0.93,2012
Ben Cottrell,LOR,53,17.2,8.8,0.253,2.87,1.85,2012
Connor Alberhasky,COE,45.2,17.2,6.4,0.301,2.89,1.76,2012
Adam Schwoebel,LOR,54.2,21.6,9.6,0.315,2.96,1.96,2012
Ryan Goetzinger,CEN,48.1,18.5,9,0.249,3.13,2.57,2012
Jose Rodriguez,SIM,81,14.7,7.9,0.315,3.17,2.25,2012
Wade Morris,COE,42.1,9.5,4.3,0.27,3.22,1.49,2012
Ryan Dusil,CEN,57.2,9.6,8.9,0.232,3.4,3.15,2012
Alec Knop,LUT,92,18.9,9,0.268,3.43,1.34,2012
Aaron Young,SIM,42,15.1,9,0.301,3.52,2,2012
Kalen Mace,DBQ,52.2,22.9,12.1,0.314,3.64,2.28,2012
Kyle Ruehle,SIM,71.1,16.9,18.5,0.258,4.1,4.96,2012
Jon Ringblom,BVU,51.2,19.4,7.6,0.323,4.16,2.25,2012
Mark Hennessy,DBQ,66.2,16.6,7.5,0.329,4.18,1.87,2012
Michael Dirkx,BVU,49.2,22.3,15.9,0.282,4.32,2.54,2012
Sean Raisch,COE,45,12.5,7.5,0.349,4.53,1.24,2012
Reggie Kock,BVU,64.1,17.9,8.9,0.329,4.8,2.6,2012
Danny Smith,LUT,45.1,11.5,6.3,0.335,4.9,1.21,2012
Michael Schinstock,WAR,81.1,19.2,9.6,0.315,5.36,1.36,2012
Chris Dorff,SIM,71.2,19.8,7.4,0.375,5.53,1.47,2012
Charlie Muir,COR,46,12.5,8.3,0.34,6.03,2.66,2012
Justin Brown,COR,2,8.4,8.8,0.397,7.43,3.42,2012
Michael Jontz,CEN,0.1,12.5,0,0.286,0,-0.56,2012
Joey Kilsdonk,DBQ,18.1,0,0,0,0,0,2012
Jared Berlage,LUT,32.2,10.3,8.6,0.235,0.98,2.71,2012
Ian Grigsby,BVU,7.2,26.1,8.4,0.276,1.1,1.79,2012
Jesse Munsterman,BVU,26.1,26.7,10,0.273,1.17,2.4,2012
James Stone,BVU,28.1,28.6,8.2,0.329,1.37,0.81,2012
Alex Korth,COE,5,20.2,9.6,0.289,1.59,1.77,2012
Andy Nelson,LUT,23.1,15.8,21.1,0.25,1.8,3.52,2012
Mike Werkheiser,CEN,8,16.7,11.9,0.246,1.93,2.41,2012
Tyler Lefeber,BVU,23.2,37.1,17.1,0.5,2.25,4.73,2012
Griffin Hatten,BVU,34.2,23.7,9.3,0.315,2.28,3.1,2012
Jeremy Gerardy,LOR,29.1,25.2,12.2,0.308,2.34,2.61,2012
Kyle Stennes,COR,7.1,21,15.1,0.269,2.45,3.29,2012
Kyle Koberna,DBQ,16,20,3.3,0.333,2.45,-0.21,2012
Tyler Thorne,COR,6.1,11.6,14.5,0.25,2.81,4.89,2012
Brad Walker,WAR,6.1,4.3,4.3,0.273,2.84,0.68,2012
Bret Bell,CEN,12.1,34.8,17.4,0.357,2.84,5.09,2012
Donny Baran,LOR,25.2,23.5,11.8,0.41,2.92,2.35,2012
Kyle Staats,DBQ,28.1,21.7,10.4,0.354,3.16,2.85,2012
Spencer Radabaugh,LOR,10.1,31.5,11.1,0.351,3.18,2.19,2012
Andrew Withers,LUT,28,22.7,11.4,0.324,3.48,2,2012
Chase Hirschauer,WAR,35.1,31.8,17.8,0.333,3.54,4.19,2012
Austin Safranski,LOR,16.2,13.1,10.8,0.313,3.57,2.84,2012
Max Nank,DBQ,17,2.9,8.7,0.299,3.78,2.12,2012
Jake Scieszinski,SIM,37.1,4.4,4.4,0.338,4.24,1.96,2012
Joshua Eastman,DBQ,26.2,14,10.7,0.331,4.34,3.08,2012
Todd Whited,DBQ,32.1,21.2,8.7,0.325,4.39,2.71,2012
Miles Canady,LOR,6,6.2,7.8,0.292,4.45,2.76,2012
Michael Chia,SIM,4,20.8,0,0.316,4.5,0.81,2012
Andrew Marshall,BVU,4,0,20,0.4,4.5,3.93,2012
Kyle Helmerson,SIM,2,12.5,12.5,0.286,4.5,2.06,2012
Zach Wilcox,COR,31.2,14.3,57.1,0.167,4.5,12.53,2012
Zach Rogers,COR,23,14.8,11.5,0.308,4.55,3.05,2012
AJ Reuter,COE,39.1,10,8.9,0.35,4.7,2.67,2012
Drew Arends,COE,7,12.7,14.6,0.321,5.03,3.04,2012
Eric Jones,SIM,27,13.8,17.2,0.4,5.14,3.85,2012
Marcus Walczyk,WAR,16.2,27.8,25.8,0.257,5.33,4.51,2012
Brennan Holm,BVU,37,25,6.3,0.277,5.4,3.95,2012
Phil Richmond,COE,25.1,29.7,31.3,0.27,5.59,7.01,2012
Lucas Hadaway,BVU,22,20.6,12.7,0.321,5.68,3.03,2012
Spencer Kuehn,DBQ,14,23.4,20.2,0.437,5.73,4.51,2012
Joseph Moen,WAR,9,11.9,15.3,0.327,5.79,5.42,2012
Jake Norton,LOR,3,11.1,19.4,0.313,6,4.16,2012
Jerry Ellendson,COE,8.2,15.8,15.8,0.438,6,7.61,2012
Eric Edkin,DBQ,21.1,9.7,19.4,0.25,6.23,4.06,2012
Matt McKinney,LUT,2.2,15.1,12.8,0.438,6.75,2.54,2012
Jackson Litterer,WAR,1.1,0,18.2,0.364,6.75,7.14,2012
Travis Mateer,SIM,13.2,20,20,0.25,6.75,3.74,2012
Jacob Courtright,COR,14.2,15.9,9.5,0.333,7.24,4.82,2012
Jake Wittman,WAR,3.2,17.2,15.5,0.326,7.36,5.95,2012
Brett Crable,SIM,44.2,40,6.7,0.556,7.36,-0.46,2012
Matt Reynolds,LUT,34.2,12.6,16.9,0.352,7.46,4.11,2012
Jeremy Ryan,COR,8.1,7.6,6.3,0.404,7.53,1.6,2012
Logan Potter,LOR,4.2,18.4,2.6,0.452,7.56,1.62,2012
Drew Campbell,COR,6.2,10,15,0.294,7.71,8.99,2012
Connor Schreck,LOR,7.1,27.3,6.1,0.545,8.1,6.21,2012
Alex Sharp,WAR,32.1,17.9,32.1,0.273,8.59,10.75,2012
Beriah Quick,COR,16.2,11.7,21.2,0.385,8.63,6.71,2012
Elliott Visuri,DBQ,29,18.6,14.3,0.421,8.64,3.63,2012
Alex Byom,LUT,6,14.5,19.7,0.35,8.69,4.22,2012
Tyler Hixson,COE,2,9.1,13.6,0.5,9,3.99,2012
Kelsen Ganeku,BVU,8.2,14.3,42.9,0.333,9,7.29,2012
Cam Beatty,BVU,14.2,16.2,16.2,0.433,9.35,7.89,2012
Brian Birks,SIM,5,5.1,5.1,0.479,9.82,3.24,2012
David Lowe,LUT,7,17.4,4.3,0.526,10.8,2.25,2012
Joel Martin,LUT,2.1,10,7.5,0.444,11.57,3.85,2012
Aaron Collins,COE,3,0,44.4,0.444,11.57,9.97,2012
Brady Harris,DBQ,8,0,6.7,0.267,12,5.24,2012
Corey Miller,LUT,4.1,7.9,15.8,0.457,12.38,4.16,2012
Scott Harris,BVU,7.1,14.3,14.3,0.667,12.46,5.57,2012
Jon Heinzman,WAR,1.2,14.3,17.1,0.467,14.73,6.59,2012
Tim Ciskowski,DBQ,2,33.3,33.3,0.667,16.2,14.66,2012
Brenden Drahn,COE,3,16.7,8.3,0.7,22.5,1.5,2012
Chris Rana,COR,1.1,5.9,64.7,0.533,42,25.18,2012
Nick Norris,COR,49,0,0,0.6,47.25,4.76,2012
Alex Byom,LUT,37,18.1,15.2,0.252,1.84,3.1,2013
Nate Whitham,LUT,56.1,8.7,10.7,0.287,1.95,2.31,2013
Ben Cottrell,LOR,61.2,16.8,7,0.261,2.08,2.06,2013
Jon Ringblom,BVU,63.1,26.2,7.3,0.331,2.19,0.73,2013
Connor Alberhasky,COE,60.1,17.6,6.6,0.315,2.7,1.55,2013
Will Petrosky,LOR,56.2,24.7,14.4,0.302,2.83,2.12,2013
Josh Eastman,DBQ,51,11.5,6,0.291,2.86,2.16,2013
Ryan Doty,WAR,47.2,29.8,7.1,0.291,3,3.26,2013
Alec Knop,LUT,60,16.5,8.8,0.316,3.02,1.38,2013
Drew Arends,COE,83,26.2,10.2,0.313,3.15,1.44,2013
Ben Rettenmeier,WAR,58,21.1,8.4,0.299,3.25,1.85,2013
Ryan Goetzinger,CEN,62.2,18.9,13.1,0.289,3.26,2.13,2013
Ben Strellner,COE,46,7.6,3.2,0.322,3.3,1.37,2013
Nick Martin,DBQ,56.1,13.7,6.5,0.262,3.33,2.94,2013
Spencer Kuehn,DBQ,80,20.4,11.4,0.277,3.51,3.01,2013
Scott Benson,WAR,60.1,21.6,5.1,0.319,3.71,1.21,2013
Judson McKown,CEN,51.1,14.3,7,0.321,3.73,1.36,2013
Ryan Dusil,CEN,60.1,7.8,8.3,0.293,3.86,2.15,2013
Adam Schwoebel,LOR,53.2,19.2,7.1,0.332,4.03,1.42,2013
Gage Reis,SIM,70,14.8,18.5,0.25,4.19,3.76,2013
Junior Rodriguez,SIM,50,11,7.8,0.344,4.5,2.12,2013
Marcus Walczyk,WAR,47.1,22.2,7.1,0.399,4.5,1.94,2013
Michael Schinstock,WAR,48.1,22.9,7.3,0.29,4.56,0.75,2013
Danny Smith,LUT,50,7.9,12,0.324,4.66,3.01,2013
Matt Pennings,SIM,43,11.4,7.5,0.322,4.68,1.99,2013
Scott Harris,BVU,56.1,19.6,15.2,0.349,5.23,3.27,2013
Dirk Lindaman,CEN,43,12.7,7.6,0.36,5.43,2.92,2013
Aaron Young,SIM,5.2,10.2,15.6,0.437,10.67,4.04,2013
Jacob Schletzbaum,COE,4,9.1,9.1,0.15,0,1.7,2013
Jesse Munsterman,BVU,3,28.6,35.7,0.2,0,5.82,2013
Alex Steines,WAR,2.2,30,40,0.286,0,6.29,2013
Brett Crable,SIM,2,10,0,0.111,0,-0.54,2013
Alex Matzen,WAR,1,0,0,0.286,0,0,2013
Aaron Collins,COE,0,0,0,0,0,0,2013
Travis Misner,LOR,11,0,Inf,0,0,Inf,2013
Tyson Valentine,BVU,10.2,11.8,5.9,0.233,0.82,1.1,2013
Cam Beatty,BVU,33.2,30.6,30.6,0.28,1.69,5.86,2013
Jeremy Gerardy,LOR,13.2,18.2,10.6,0.296,1.87,2.18,2013
Alan Kopp,DBQ,26.1,11.8,15.7,0.244,1.98,2.86,2013
Jake Bjorkgren,BVU,16.1,20.4,4.9,0.305,2.05,0.54,2013
Parker Bolt,WAR,24,19.1,1.5,0.327,2.2,0.08,2013
Wade Morris,COE,31.2,10.6,5.9,0.224,2.25,0.95,2013
Brennan Holm,BVU,15.1,18.9,4.9,0.273,2.27,0.74,2013
Danny Baran,LOR,19,15.1,7.5,0.227,2.35,2.95,2013
Connor Schreck,LOR,22.1,17.6,11.8,0.214,2.37,2.79,2013
Patrick Walsh,LOR,11,27.7,12,0.333,2.42,1.8,2013
Jake Tickle,COE,3.2,14.3,11.9,0.222,2.45,2.41,2013
Landon Klostermann,DBQ,20.1,18.8,18.8,0.167,2.45,12.28,2013
Lucas Hadaway,BVU,16,25.6,12.2,0.377,2.66,2.38,2013
Tyler Lefeber,BVU,13.1,14.5,9.7,0.269,2.81,3.06,2013
Brock Borgeson,SIM,15.2,18.8,8.3,0.243,3.38,6.15,2013
Andrew Withers,LUT,30,14.5,14.5,0.321,3.45,2.98,2013
Kendall Hazel,BVU,12.1,11.3,8.9,0.291,3.6,2.62,2013
Joey Kilsdonk,DBQ,17,8,10,0.295,3.65,6.69,2013
Mark Schroeder,CEN,28.2,6.1,13.6,0.226,3.71,3.02,2013
Ian Grigsby,BVU,35.2,20,8.7,0.348,3.77,1.21,2013
Jake Norton,LOR,36.1,18.6,10.7,0.339,3.79,3.15,2013
AJ Reuter,COE,20,11.3,4.3,0.339,3.96,1.28,2013
Taylor Neff,SIM,6.2,9.3,12,0.324,4.05,2.39,2013
Noah Nelson-Gross,LUT,6.2,11.5,7.7,0.304,4.05,3.04,2013
Andrew Marshall,BVU,17.2,20,32,0.2,4.05,7.18,2013
Joe Moen,WAR,15.1,5.6,2.8,0.328,4.08,1.03,2013
Kyle Helmerson,SIM,24,36.4,30.9,0.471,4.11,7.2,2013
Eric Jones,SIM,28,17.9,15.8,0.429,4.12,3.75,2013
Jake Scieszinski,SIM,34,10.1,8.3,0.276,4.18,2.14,2013
Tyler Trifiletti,DBQ,25,11.1,11.9,0.333,4.24,2.77,2013
Blake Peterson,LUT,2,11.3,14.4,0.321,4.32,5.6,2013
Kelsen Ganeku,BVU,15.2,0,0,0.333,4.5,0,2013
Griffin Hatten,BVU,11.2,27.6,25.9,0.333,4.6,5.02,2013
Lucas Ware,DBQ,21.1,10,30,0.289,4.63,7.48,2013
Jack Hoffmann,COE,22.2,7.9,5.6,0.253,4.64,4.9,2013
Michael Jontz,CEN,19.1,17.6,15.3,0.357,4.76,3.24,2013
Chase Hirschauer,WAR,13.1,13.7,12.3,0.365,5.12,2.9,2013
Andy Carr,CEN,31.1,17.9,19.6,0.422,5.4,5.79,2013
Kyle Brady,COE,23,8.8,7.4,0.38,5.46,3.86,2013
Adam Bernstorf,BVU,6,16.7,10.7,0.243,5.48,2.93,2013
Jeremy Santiago,COE,35.2,16,8,0.2,6,4.48,2013
Matt McKinney,LUT,14.2,15.1,14.4,0.35,6.06,3.69,2013
Matt Kass,LOR,24.2,12.9,14.5,0.396,6.75,4.72,2013
Max Nank,DBQ,9.1,9.2,14.3,0.375,6.93,5.27,2013
Tyler Hixson,COE,17.1,12.2,7.3,0.556,7.71,1.81,2013
Ryan Deuel,CEN,5.2,13.8,20,0.406,7.79,4.48,2013
James Longo,CEN,10,3.1,6.3,0.433,7.94,5.86,2013
Robbie Rushing,CEN,3.1,15.4,17.9,0.303,8.1,3.77,2013
Corey Miller,LUT,21,16.7,27.8,0.533,8.1,11.52,2013
Matt Schissel,CEN,4,6.2,9.3,0.418,8.57,3.4,2013
Phillip Lapointe,LUT,13.2,5.3,21.1,0.444,9,6.72,2013
Reggie Kock,BVU,9.2,11.9,20.3,0.462,9.22,7.02,2013
Zane Butler,SIM,5.1,10,27.5,0.361,9.31,7.41,2013
Jordan Jeske,DBQ,5.1,7.7,11.5,0.435,10.12,9.04,2013
Andrew Nelson,LUT,1,0,28.6,0.381,10.12,6.6,2013
Tim Ciskowski,DBQ,4.2,16.7,0,0.8,18,4.42,2013
Kelly O'Rourke,COE,1.2,13.6,9.1,0.611,19.29,9.36,2013
Nick Petruzzi,LOR,3.2,16.7,66.7,0,21.6,22.39,2013
Joel Martin,LUT,2,9.5,9.5,0.632,22.09,2.76,2013
Aaron Laskowski,DBQ,0.1,27.3,0,0.75,22.5,6.62,2013
